station_co,site_name,latitude,longitude,state,rivname,basin_name
RJPAR2556,Raipur,26.05,74.03333333,RAJASTHAN,,
b2ahhshli,Hilli,25.27875278,89.002775,WEST BENGAL,Mahananda,
b2ahhsgam,Itahar,25.45694167,88.17351944,WEST BENGAL,Mahananda,
RJJHW1905,Raipur,26.05,74.03333333,RAJASTHAN,,
b2ahhsban,Bansihari,25.39596944,88.41659444,WEST BENGAL,Mahananda,
b2ahqseng,English Bazar,25.01416111,88.14380833,WEST BENGAL,Mahananda,
RJBLR0671,Raipur,25.4,74.15,RAJASTHAN,,
B2ahhspaj,Pajol,25.51374444,88.09364722,WEST BENGAL,Mahananda,
RJPAW2517,Raipur Luni,26.05,74.03333333,RAJASTHAN,,
RJSKW2901,Raipur patan,27.75805556,75.96694444,RAJASTHAN,,
CHANDRAPURA_DAM,Chandrapura (CTPS),23.73055556,86.12222222,JHARKHAND,Damodar,
GANSADIH_DAMODA,Gansadih,23.75972222,86.01111111,JHARKHAND,Damodar,
RJGAR1456,Raisinghnagar,29.53333333,73.45,RAJASTHAN,,
b2ampsram,Ramchandrapur,23.58645,86.82676111,WEST BENGAL,Damodar,
b2ahhsRad,Radhikapur,25.64163333,88.43356667,WEST BENGAL,Mahananda,
RJDHR1254,Rajakhera,26.9,78.18333333,RAJASTHAN,,
b2ahhsgan,Gangarampur,25.40571667,88.51350278,WEST BENGAL,Mahananda,
b2ahhssnp,Sonapur,26.45571944,88.24395,WEST BENGAL,Mahananda,
RJDHW1205,Rajakhera,26.9,78.18333333,RAJASTHAN,,
RajSW013,Rajakhera,26.90361111,78.17,RAJASTHAN,,
RJCHR1052,Rajgarh,28.63111111,75.39083333,RAJASTHAN,,
RJALR0163,Rajgarh,27.21666667,76.61666667,RAJASTHAN,,
RajSW095,Rajsagar chopra,26.06027778,73.44694444,RAJASTHAN,,
RJPAW2518,Raj Sagar Chopra,26.05,73.41666667,RAJASTHAN,,
RJRAR2757,Rajsamand,25.0575,73.89861111,RAJASTHAN,,
RajSW191,Rajsamand,25.06055556,73.90083333,RAJASTHAN,,
b2ampsgan,Gangarampure,25.40571667,88.51350278,WEST BENGAL,Mahananda,
