label,lat,long,riverName,stationGuid,wiskiID
Wyre Piddle,52.126787,-2.056054,Piddle Brook,51190ba2-682a-493c-bf93-918c8221d81e,2133
Crabb Mill,51.577991,-2.075259,Woodbridge Brook,f02dce57-8c7c-4741-941e-9638164be462,530130
Burlington Pool,52.695775,-2.324588,Burlington Pool,668ae9bb-cd78-49d1-a116-b4857439fa0a,2857
Burn Br.Nr.Pannal,53.962216,-1.568837,Crimple Beck Or River Crimple,2e224cf2-9423-4a4e-b719-f56d6454bc6b,F2120
Wray,54.105893,-2.605742,River Hindburn,fe864cfb-0782-4369-8343-951e2ad01992,724427
Harford Hill,52.255419,-2.193836,River Salwarpe,dd3c856a-bb15-42d0-bbf4-d0a816f20946,2011
Griggs Bridge,51.904243,0.020897,River Quin,49ef0934-49fa-4150-b1d2-83b14f6e3724,4939TH
Braughing Griggs Bridge,51.90418,0.020865,,49ef0934-49fa-4150-b1d2-83b14f6e3724,490001TP
Dalton,54.183461,-1.354886,Cod Beck,a2240676-e92d-4ba4-97dc-30056b152269,F2313
Chester Le Street,54.855018,-1.560651,River Wear,e7d8bbb6-5bba-4057-9f49-a299482c3348,24009
Cherrytree Farm,54.30374,-1.000286,Hodge Beck,fce4a0d2-2406-4c67-8bf4-35cd091e6545,F2570
Quixhill,52.976922,-1.860483,River Churnet,f06167e7-dd9e-4ce6-81c8-176d2d8b706d,4142
Albury,51.211031,-0.504721,"['Lawbrook', 'Law Brook']",a185e5ce-932f-40ae-a90f-6e77f1341e8e,3074TH
Mattersey,53.398039,-0.96352,River Idle,155b4b28-40ae-48fa-b112-f442b74b8e8a,4015
Bury Mill,51.757619,-0.475391,River Gade,d21f1e9f-b6ba-4491-b6cf-faf227813d47,2841TH
Gwills,50.393097,-5.056267,River Gannel,6afb7ae1-8e82-402d-ac57-d5f658c6d114,SW85F055
Burnham Overy Town,52.95042,0.740328,River Burn,47ed0d00-d4ab-4f3a-84c9-c9571d1a1cc1,34012
Chatsworth,53.211702,-1.611159,River Derwent,02ae6414-2983-456e-9d77-9289a9e40ec7,4043
Sherman Bridge,50.82568,0.175071,Cuckmere River,6cd9e6e4-dd4c-4dcf-85bf-dfbf175d450e,351520004
Woodmill,50.843162,-3.39234,River Culm,d2dcdeb9-5c08-471b-8d86-e0e1bc1d4c9c,ST00F008
